title
Twilight (Twilight  #1)
The Hobbit  or There and Back Again
The Catcher in the Rye
Angels & Demons (Robert Langdon  #1)
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3)
Harry Potter and the Chamber of Secrets (Harry Potter  #2)
Harry Potter and the Order of the Phoenix (Harry Potter  #5)
The Fellowship of the Ring (The Lord of the Rings  #1)
Animal Farm
Harry Potter and the Half-Blood Prince (Harry Potter  #6)
Lord of the Flies
Romeo and Juliet
The Lightning Thief (Percy Jackson and the Olympians  #1)
Of Mice and Men
The Da Vinci Code (Robert Langdon  #2)
